fishingMethodCodeAppliedByFA	taxonID	fishingQuantityInTon	year
104	2600	NA	2003
106	2600	NA	2003
108	2600	NA	2003
199	2600	NA	2003
201	2600	NA	2003
202	2600	NA	2003
203	2600	NA	2003
204	2600	575 	2003
205	2600	9 	2003
206	2600	NA	2003
209	2600	NA	2003
211	2600	NA	2003
212	2600	2 	2003
213	2600	NA	2003
214	2600	NA	2003
219	2600	NA	2003
221	2600	NA	2003
299	2600	NA	2003
301	2600	NA	2003
302	2600	NA	2003
303	2600	NA	2003
304	2600	108 	2003
305	2600	0 	2003
306	2600	NA	2003
307	2600	4 	2003
308	2600	NA	2003
309	2600	NA	2003
310	2600	NA	2003
399	2600	NA	2003
101	2700	1245 	2003
102	2700	NA	2003
103	2700	NA	2003
104	2700	NA	2003
106	2700	NA	2003
108	2700	NA	2003
199	2700	NA	2003
201	2700	NA	2003
202	2700	NA	2003
203	2700	98 	2003
204	2700	2412 	2003
205	2700	104 	2003
206	2700	NA	2003
209	2700	NA	2003
211	2700	NA	2003
212	2700	26 	2003
