緯度,經度,年,數量,縣市,鄉鎮,地點
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,3,台中市,西屯區,中都5E台中都會公園
24.94640059,121.3447769,2015,1,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2015,1,新北市,鶯歌區,尖山路 
23.720969,120.501397,2015,1,雲林縣,斗六市,斗六工業區(通報)
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
24.962585,121.365134,2015,1,新北市,鶯歌區,碧龍宮
24.964499,121.447738,2015,,新北市,土城區,土城彈藥庫
 25.168585,121.416438,2015,3,新北市,八里區,挖子尾土地公廟
 25.168585,121.416438,2015,4,新北市,八里區,挖子尾土地公廟
 25.168585,121.416438,2015,2,新北市,八里區,挖子尾土地公廟
 25.167930,121.416801,2015,1,新北市,八里區,挖子尾菜園
 25.167930,121.416801,2015,1,新北市,八里區,挖子尾菜園
 25.167930,121.416801,2015,1,新北市,八里區,挖子尾菜園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,2,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,5,台中市,西屯區,中都5E台中都會公園
24.96449926,121.4477385,2015,不計數,新北市,土城區,土彈
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
23.90695646,120.5282933,2015,2,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,4,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,2,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,2,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,2,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
24.991776,121.564095,2015,2,台北市,文山區,明興生態區
24.991776,121.564095,2015,2,台北市,文山區,明興生態區
 25.168585,121.416438,2015,2,新北市,八里區,挖子尾土地公廟
 25.168585,121.416438,2015,10,新北市,八里區,挖子尾土地公廟
 25.168585,121.416438,2015,26,新北市,八里區,挖子尾土地公廟
 25.167224,121.416063,2015,1,新北市,八里區,挖子尾新竹林
 25.167224,121.416063,2015,1,新北市,八里區,挖子尾新竹林
 25.167224,121.416063,2015,1,新北市,八里區,挖子尾新竹林
 25.167224,121.416063,2015,10,新北市,八里區,挖子尾新竹林
 25.167224,121.416063,2015,3,新北市,八里區,挖子尾新竹林
 25.167224,121.416063,2015,1,新北市,八里區,挖子尾新竹林
 25.167224,121.416063,2015,15,新北市,八里區,挖子尾新竹林
 25.167930,121.416801,2015,1,新北市,八里區,挖子尾菜園
23.910833,"120.6575,",2015,1,南投縣,南投市,南投市附近(通報)
25.00338777,121.5440457,2015,1,台北市,文山區,文山運動公園
24.96449926,121.4477385,2015,4,新北市,土城區,土彈
24.96449926,121.4477385,2015,5,新北市,土城區,土彈
24.96449926,121.4477385,2015,2,新北市,土城區,土彈
24.96449926,121.4477385,2015,5,新北市,土城區,土彈
24.001998,120.627956,2015,2,彰化縣,芬園鄉,通報-寶藏寺後方果園
24.001998,120.627956,2015,1,彰化縣,芬園鄉,通報-寶藏寺後方果園
24.001998,120.627956,2015,1,彰化縣,芬園鄉,通報-寶藏寺後方果園
24.001998,120.627956,2015,不計數,彰化縣,芬園鄉,通報-寶藏寺後方果園
24.962585,121.365134,2015,不計數,新北市,鶯歌區,碧龍宮
24.001998,120.627956,2015,1,彰化縣,芬園鄉,私人果園(通報)
23.90695646,120.5282933,2015,3,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,不計數,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,不計數,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,3,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,6,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,8,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,10,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,不計數,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,不計數,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,不計數,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,不計數,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,2,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,5,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
23.906596,120.696317,2015,1,南投縣,南投市,南鄉路(通報)
23.906979,120.693347,2015,3,南投縣,南投市,通報-南鄉路大象牛排館附近
25.00244633,121.3971108,2015,1,桃園市,龜山區,關公嶺北天宮
25.00244633,121.3971108,2015,2,桃園市,龜山區,關公嶺北天宮
25.00244633,121.3971108,2015,2,桃園市,龜山區,關公嶺北天宮
25.00244633,121.3971108,2015,2,桃園市,龜山區,關公嶺北天宮
25.00244633,121.3971108,2015,5,桃園市,龜山區,關公嶺北天宮
25.00244633,121.3971108,2015,2,桃園市,龜山區,關公嶺北天宮
25.00244633,121.3971108,2015,1,桃園市,龜山區,關公嶺北天宮
25.00244633,121.3971108,2015,2,桃園市,龜山區,關公嶺北天宮
24.93805,121.308611,2015,1,桃園市,八德區,興豐路1216號(通報)
24.96449926,121.4477385,2015,2,新北市,土城區,土彈
24.96449926,121.4477385,2015,6,新北市,土城區,土彈
24.96449926,121.4477385,2015,2,新北市,土城區,土彈
