year	taxonID	vernacularName	scientificName	notesToScientificName	taxonRank	SAU1	SAU2	notesToSAU2	Chang1	FB	FBthenSAU2	SAU2thenFB	FBthenSAU2Modified	notesToFBthenSAU2Modified	SAU2thenFBModified	notesToSAU2thenFBModified
2013	7101	石花菜	Gelidium amansii		species	1	1		1	NA	1	1	1		1	
2013	7102	紫菜	Porphyra tenera		species	1	1		1	NA	1	1	1		1	
2013	7103	龍鬚菜	Gracilaria		genus	1	1		NA	NA	1	1	1		1	
2013	7104	青海菜	NA		NA	1	1		NA	NA	1	1	1		1	
2013	7199	其他藻類	NA		NA	1	1		NA	NA	1	1	1		1	
2016	8001	麥奇鈎吻鮭	Oncorhynchus mykiss		species	NA	NA		NA	4.1	4.1	4.1	4.1		4.1	
2016	9001	香魚	Plecoglossus altivelis		species	NA	NA		3	2.8	2.8	2.8	2.8		2.8	
2016	10001	虱目魚	Chanos chanos		species	2.03	2.03		NA	2.4	2.4	2.03	2.4		2.03	
2016	12001	真鯛	Pagrus major		species	3.7	3.7		3.7	3.7	3.7	3.7	3.7		3.7	
2016	12002	黃背牙鯛	Dentex hypselosomus		species	NA	3.31	map to family rank	NA	3.7	3.7	3.31	3.7		3.31	
2016	12004	黑棘鯛	Acanthopagrus schlegelii		species	3.24	3.24		NA	3.2	3.2	3.24	3.2		3.24	
2016	12099	其他鯛	Sparidae	原文件中無此科級註記，此乃根據原文件中 "Other porgies" 所做的判斷。	family	3.31	3.31		NA	NA	3.31	3.31	3.31		3.31	
2016	15004	白姑魚	Pennahia		genus	NA	3.76	map to family rank	NA	NA	3.76	3.76	3.76		3.76	
2016	16001	金線魚	Nemipterus		genus	NA	3.99	map to species rank	NA	NA	3.99	3.99	3.99		3.99	
2016	23001	大棘大眼鯛	Priacanthus macracanthus		species	3.8	3.8		NA	4.1	4.1	3.8	4.1		3.8	
2016	26002	點帶石斑	Epinephelus coioide		species	NA	3.84	map to genus rank	NA	4	4	3.84	4		3.84	
2016	26003	鞍帶石斑魚	Epinephelus lanceolatus		species	NA	3.84	map to genus rank	NA	4	4	3.84	4		3.84	
2016	26099	其他石斑	Serranidae	原文件中無此科級註記，此乃根據原文件中 "Other groupers" 所做的判斷。	family	3.98	3.98		NA	NA	3.98	3.98	3.98		3.98	
2016	29000	合齒魚科	Synodontidae		family	NA	NA		NA	NA	NA	NA	4.4	"Synodontidae" → "Saurida elongata"	4.4	"Synodontidae" → "Saurida elongata"
2016	30000	鯙科	Muraenidae		family	4.07	4.07		NA	NA	4.07	4.07	4.07		4.07	
2016	34001	海鱺	Rachycentron canadum		species	3.96	3.96		4	4	4	3.96	4		3.96	
2016	35001	眼眶魚	Mene maculata		species	3.45	3.45		3.5	3.5	3.5	3.45	3.5		3.45	
2016	36001	真鰺	Trachurus japonicus		species	3.4	3.4		3.4	3.4	3.4	3.4	3.4		3.4	
2016	36003	藍圓鰺	Decapterus maruadsi		species	3.4	3.4		3.4	3.4	3.4	3.4	3.4		3.4	
2016	36005	吉打副葉鰺	Alepes djedaba		species	NA	4.05	map to family rank	NA	3.3	3.3	4.05	3.3		4.05	
2016	36099	其他鰺	Carangidae	原文件中無此科級註記，此乃根據原文件中 "Other scads" 所做的判斷。	family	4.05	4.05		NA	NA	4.05	4.05	4.05		4.05	
2016	37001	鯔	Mugil cephalus		species	2.13	2.13		2.1	2.5	2.5	2.13	2.5		2.13	
2016	38002	鐮鯧	Pampus echinogaster		species	NA	3.62	map to family rank	NA	3.5	3.5	3.62	3.5		3.62	
2016	39001	刺鯧	Psenopsis anomala		species	3.45	3.45		4	4	4	3.45	4		3.45	
2016	40000	馬鮁科	Polynemidae		family		3.53	map to order rank	NA	NA	3.53	3.53	3.53		3.53	
2016	41001	飛魚卵	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2016	46000	帶鰆科	Gempylidae		family	NA	3.53	map to order rank	NA	NA	3.53	3.53	3.53		3.53	
2016	48000	帶魚屬	Trichiurus		genus	4.42	4.42		NA	NA	4.42	4.42	4.42		4.42	
2016	49001	鬼頭刀	Coryphaena hippurus		species	4.37	4.37		4.4	4.4	4.4	4.37	4.4		4.37	
2016	51003	日本銀帶鯡	Spratelloides gracilis		species	3.06	3.06		3	3.1	3.1	3.06	3.1		3.06	
2016	51099	其他鯡	Clupeidae	原文件中無此科級註記，此乃根據原文件中 "Other herrings/sardines/Shads" 所做的判斷。	family	3.16	3.16		NA	NA	3.16	3.16	3.16		3.16	
2016	52001	鱙仔	Engraulis japonicus		species	3.14	3.14		NA	3.1	3.1	3.14	3.1		3.14	
2016	52002	魩仔	Encrasicholina	原文件中無此屬級註記，而是列出 "Encrasicholina punctifer" 和 "Encrasicholina heteroloba"。	genus	NA	3.24	map to order rank	NA	NA	3.24	3.24	3.24		3.24	
2016	53001	花腹鯖	Scomber australasicus		species	4.23	4.23		4.2	4.2	4.2	4.23	4.2		4.23	
2016	53101	正鰹	Katsuwonus pelamis		species	4.43	4.43		4.3	4.4	4.4	4.43	4.4		4.43	
2016	53102	扁花鰹	Auxis thazard		species	4.37	4.37		NA	4.4	4.4	4.37	4.4		4.37	
2016	53103	圓花鰹	Auxis rochei		species	4.13	4.13		4.1	4.3	4.3	4.13	4.3		4.13	
2016	53199	其他鰹類	Katsuwonus	原文件中無此屬級註記，此乃根據原文件中 "Other skipjacks" 所做的判斷。	genus	NA	4.26	map to family rank	NA	NA	4.26	4.26	4.26		4.26	
2016	53201	康氏馬加鰆	Scomberomorus commerson		species	4.5	4.5		NA	4.5	4.5	4.5	4.5		4.5	
2016	53202	日本馬加鰆	Scomberomorus niphonius		species	4.5	4.5		4.5	4.5	4.5	4.5	4.5		4.5	
2016	53299	其他鰆類	Scombridae	原文件中無此科級註記，此乃根據原文件中 "Other mackerels" 所做的判斷。	family	4.26	4.26		NA	NA	4.26	4.26	4.26		4.26	
2016	53301	長鰭鮪	Thunnus alalunga		species	4.3	4.3		4.3	4.3	4.3	4.3	4.3		4.3	
2016	53302	大目鮪	Thunnus obesus		species	4.49	4.49		4.5	4.5	4.5	4.49	4.5		4.49	
2016	53303	黃鰭鮪	Thunnus albacares		species	4.41	4.41		4.3	4.4	4.4	4.41	4.4		4.41	
2016	53304	太平洋黑鮪	Thunnus orientalis		species	4.21	4.21		4.2	4.5	4.5	4.21	4.5		4.21	
2016	53305	南方黑鮪	Thunnus maccoyii		species	NA	4.26	map to family rank	NA	3.9	3.9	4.26	3.9		4.26	
2016	53399	其他鮪類	Scombridae	原文件中無此科級註記，此乃根據原文件中 "Other tunas" 所做的判斷。	family	4.26	4.26		NA	4.5	4.5	4.26	4.5		4.26	
2016	54001	劍旗魚	Xiphias gladius		species	4.53	4.53		4.5	4.5	4.5	4.53	4.5		4.53	
2016	55001	紅肉旗魚	Kajikia audax		species	4.58	4.58		NA	NA	4.58	4.58	4.58		4.58	
2016	55003	黑皮旗魚	Makaira nigricans		species	NA	4.48	map to family rank	NA	4.5	4.5	4.48	4.5		4.48	
2016	55004	立翅旗魚	Istiompax indica		species	4.5	4.5		NA	4.5	4.5	4.5	4.5		4.5	
2016	55005	雨傘旗魚	Istiophorus platypterus		species	4.5	4.5		4.5	4.5	4.5	4.5	4.5		4.5	
2016	56100	真鯊屬	Carcharhinus		genus	NA	4.05	map to subclass rank	NA	NA	4.05	4.05	4.05		4.05	
