_海洋保護區或其子區的名稱	_所屬的海洋保護區	_法令依據	_提報機關	_管理機關	_地理圖資的類型	_原始的座標點位	_以Excel統一座標的格式	decimalLatitude	decimalLongitude
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'17.1"""" N;121°11'36 """"E"	22°50'17.1sN 121°11'36 sE	22.8380833333333	121.193333333333
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'02.8"""" N;121°11'08.4 """"E"	22°50'02.8sN 121°11'08.4 sE	22.8341111111111	121.185666666667
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°49'58.4"""" N;121°11'25.5 """"E"	22°49'58.4sN 121°11'25.5 sE	22.8328888888889	121.190416666667
壽豐鄉鹽寮保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°53'07.5""""N;121°36'12.5""""E"	23°53'07.5sN 121°36'12.5sE	23.8854166666667	121.603472222222
壽豐鄉鹽寮保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°53'07.5""""N;121°36'19.6""""E"	23°53'07.5sN 121°36'19.6sE	23.8854166666667	121.605444444444
壽豐鄉鹽寮保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°51'36.9""""N;121°35'51.8""""E"	23°51'36.9sN 121°35'51.8sE	23.86025	121.597722222222
壽豐鄉鹽寮保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°51'36.9""""N;121°35'58.9""""E"	23°51'36.9sN 121°35'58.9sE	23.86025	121.599694444444
壽豐鄉水璉保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'29.4""""N;121°33'23.6""""E"	23°43'29.4sN 121°33'23.6sE	23.7248333333333	121.556555555556
壽豐鄉水璉保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'29.4""""N;121°33'30.7""""E"	23°43'29.4sN 121°33'30.7sE	23.7248333333333	121.558527777778
壽豐鄉水璉保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'0.6""""N;121°32'57.9""""E"	23°43'0.6sN 121°32'57.9sE	23.7168333333333	121.549416666667
壽豐鄉水璉保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°43'0.6""""N;121°33'4.9""""E"	23°43'0.6sN 121°33'4.9sE	23.7168333333333	121.551361111111
豐濱鄉高山保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°41'03.5""""N;121°32'52.7""""E"	23°41'03.5sN 121°32'52.7sE	23.6843055555556	121.547972222222
豐濱鄉高山保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°41'03.5""""N;121°32'59.8""""E"	23°41'03.5sN 121°32'59.8sE	23.6843055555556	121.549944444444
豐濱鄉高山保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°40'23.9""""N;121°32'47.3""""E"	23°40'23.9sN 121°32'47.3sE	23.6733055555556	121.546472222222
豐濱鄉高山保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°40'23.9""""N;121°32'54.3""""E"	23°40'23.9sN 121°32'54.3sE	23.6733055555556	121.548416666667
豐濱鄉小湖保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'59.6""""N;121°32'10.8""""E"	23°38'59.6sN 121°32'10.8sE	23.6498888888889	121.536333333333
豐濱鄉小湖保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'59.6""""N;121°32'17.8""""E"	23°38'59.6sN 121°32'17.8sE	23.6498888888889	121.538277777778
豐濱鄉小湖保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'06.8""""N;121°31'57.8""""E"	23°38'06.8sN 121°31'57.8sE	23.6352222222222	121.532722222222
豐濱鄉小湖保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°38'06.8""""N;121°32'04.9""""E"	23°38'06.8sN 121°32'04.9sE	23.6352222222222	121.534694444444
豐濱鄉豐濱保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°32'58.4""""N;121°30'37.0""""E"	23°32'58.4sN 121°30'37.0sE	23.5495555555556	121.510277777778
豐濱鄉豐濱保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°32'58.4""""N;121°30'44.1""""E"	23°32'58.4sN 121°30'44.1sE	23.5495555555556	121.51225
豐濱鄉豐濱保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°29'02.3""""N;121°30'44.3""""E"	23°29'02.3sN 121°30'44.3sE	23.4839722222222	121.512305555556
豐濱鄉豐濱保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°29'02.3""""N;121°30'51.4""""E"	23°29'02.3sN 121°30'51.4sE	23.4839722222222	121.514277777778
豐濱鄉石梯坪保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'50.0""""N;121°30'33.8""""E"	23°28'50.0sN 121°30'33.8sE	23.4805555555556	121.509388888889
豐濱鄉石梯坪保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'50.0""""N;121°30'40.9""""E"	23°28'50.0sN 121°30'40.9sE	23.4805555555556	121.511361111111
豐濱鄉石梯坪保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'10.7""""N;121°30'16.0""""E"	23°28'10.7sN 121°30'16.0sE	23.4696388888889	121.504444444444
豐濱鄉石梯坪保育區		漁業法	漁業署	花蓮縣政府	POLYGON	"23°28'10.7""""N;121°30'23.1""""E"	23°28'10.7sN 121°30'23.1sE	23.4696388888889	121.506416666667
小門漁業資源保育區		漁業法	漁業署	澎湖縣政府	POLYGON	23°39.3' N;119°30.4'E	23°39.3'N 119°30.4'E	23.655	119.506666666667
小門漁業資源保育區		漁業法	漁業署	澎湖縣政府	POLYGON	23°39.3' N;119°30.6'E	23°39.3'N 119°30.6'E	23.655	119.51
小門漁業資源保育區		漁業法	漁業署	澎湖縣政府	POLYGON	23°39.4'N;119°30.4'E	23°39.4'N 119°30.4'E	23.6566666666667	119.506666666667
小門漁業資源保育區		漁業法	漁業署	澎湖縣政府	POLYGON	23°39.4'N;119°30.6'E	23°39.4'N 119°30.6'E	23.6566666666667	119.51
金門縣古寧頭西北海域鱟保育區		漁業法	漁業署	金門縣政府	POLYGON	"24°28'14.9""""N;118°17'19.5""""E"	24°28'14.9sN 118°17'19.5sE	24.4708055555556	118.28875
金門縣古寧頭西北海域鱟保育區		漁業法	漁業署	金門縣政府	POLYGON	"24°28'44.4""""N;118°19'38.8""""E"	24°28'44.4sN 118°19'38.8sE	24.479	118.327444444444
金門縣古寧頭西北海域鱟保育區		漁業法	漁業署	金門縣政府	POLYGON	"24°29'49.4""""N;118°19'38.8""""E"	24°29'49.4sN 118°19'38.8sE	24.4970555555556	118.327444444444
金門縣古寧頭西北海域鱟保育區		漁業法	漁業署	金門縣政府	POLYGON	"24°29'19.9""""N;118°17'19.5""""E"	24°29'19.9sN 118°17'19.5sE	24.4888611111111	118.28875
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22°0'28.15""""N;120°41'19.63""""E"	22°0'28.15sN 120°41'19.63sE	22.0078194444444	120.688786111111
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'44.49""""N;120°41'45.14""""E"	21°59'44.49sN 120°41'45.14sE	21.9956916666667	120.695872222222
