213	曳繩釣	7,623	305,406	5,297	247,852	5,016	251,107	2,571	97,492	1,817	59,976	1,859	92,978
214	一支釣	2,642	139,142	4,403	198,905	6,060	251,095	5,128	265,922	3,295	164,001	2,517	229,442
219	其他釣	347	12,756	182	4,671	394	8,824	434	9,121	688	16,495	491	11,497
221	珊瑚	109	299,200	157	405,726	215	545,148	141	358,278	106	243,800	67	357,400
222	飛魚卵漁業	-	-	-	-	-	-	-	-	-	-	-	-
223	扒網漁業	-	-	-	-	-	-	-	-	-	-	-	-
299	其他近海漁業	515	22,327	366	32,415	562	57,239	1,271	68,167	1,099	54,459	992	46,738
300	沿岸漁業合計	46,907	2,580,498	51,300	2,803,123	54,467	2,851,376	56,737	3,317,986	53,905	3,244,498	49,089	2,694,774
301	定置網	4,998	213,872	6,352	267,138	8,094	298,317	9,403	329,919	11,185	463,560	11,051	493,128
302	地曳網	2,414	114,002	2,703	114,258	2,780	123,410	1,732	107,767	1,943	125,114	1,010	79,500
303	火誘網	4,361	198,714	4,833	233,181	5,414	260,874	3,110	174,965	1,659	109,162	1,751	99,750
304	刺網	15,219	688,354	15,933	784,745	16,920	803,132	16,906	944,404	16,964	809,612	16,023	781,632
305	其他網	1,149	56,201	1,636	71,299	1,147	48,636	4,421	198,983	3,309	81,919	1,769	44,026
